id,date,primary_case,Address,council_district,case_number,mnd,publication
1,2001-12-27,ENV-2001-4708,15451-15443 Ventura Blvd.; Encino-Tarzana,CD11,ENV-2001-4708,,https//planning.lacity.org/eir/publication/pub_122701.htm#4708
2,2001-12-27,ENV-1999-3265,Norris Ave. & Osborne Ave.; Arleta-Pacoima,CD7,ENV-1999-3265,,https//planning.lacity.org/eir/publication/pub_122701.htm#3265
3,2001-12-27,ENV-2001-2408,20539 Ventura Blvd.; Canoga Park-Winnetka-Woodland Hills-West Hills,CD11,ENV-2001-2408,,https//planning.lacity.org/eir/publication/pub_122701.htm#2408
4,2001-12-27,ENV-2001-4166,4000 South Vermont Ave.; South Central Los Angeles,CD9,ENV-2001-4166,,https//planning.lacity.org/eir/publication/pub_122701.htm#4166
5,2001-12-27,ENV-2001-4261,1144 Western Ave.; Wilshire,CD10,ENV-2001-4261,,https//planning.lacity.org/eir/publication/pub_122701.htm#4261
6,2001-12-27,ENV-2001-4422,6719 Foothill Blvd.; Sunland-Tujunga-Lake View Terrace-Shadow Hills,CD2,ENV-2001-4422,,https//planning.lacity.org/eir/publication/pub_122701.htm#4422
7,2001-12-27,ENV-2001-4627,1661 Colorado Blvd.; North East Los Angeles,CD14,ENV-2001-4627,,https//planning.lacity.org/eir/publication/pub_122701.htm#4627
8,2001-12-27,ENV-2001-4670,426-444 South Sepulveda Blvd.; West Wood,CD11,ENV-2001-4670,,https//planning.lacity.org/eir/publication/pub_122701.htm#4670
9,2001-12-27,ENV-2001-4787,13570 Eldridge Ave.; Sylmar,CD12,ENV-2001-4787,,https//planning.lacity.org/eir/publication/pub_122701.htm#4787
10,2001-12-27,ENV-2001-4984,21870 Victory Blvd.; Canoga Park-Winnetka-Woodland Hills-West Hills,CD3,ENV-2001-4984,,https//planning.lacity.org/eir/publication/pub_122701.htm#4984
11,2001-12-27,ENV-2001-5062,474 North Paso Miramar ; Brentwood-Pacific Palisades,CD11,ENV-2001-5062,,https//planning.lacity.org/eir/publication/pub_122701.htm#5062
12,2001-12-27,ENV-2001-5130,10390 La Grange Ave.; West Los Angeles,CD5,ENV-2001-5130,,https//planning.lacity.org/eir/publication/pub_122701.htm#5130
13,2001-12-27,ENV-2001-5245,546 West 182nd St.; Harbor Gateway,CD15,ENV-2001-5245,,https//planning.lacity.org/eir/publication/pub_122701.htm#5245
14,2001-12-27,ENV-2001-5338,649 Resolano Dr.; Brentwood-Pacific Palisades,CD11,ENV-2001-5338,,https//planning.lacity.org/eir/publication/pub_122701.htm#5338
15,2001-12-27,ENV-2001-5470,8210 West Sunset Blvd.; Hollywood,CD5,ENV-2001-5470,,https//planning.lacity.org/eir/publication/pub_122701.htm#5470
16,2001-12-27,ENV-2001-5539,1402 East Pacific Coast Highway ; Wilmington-Harbor City,CD5,ENV-2001-5539,,https//planning.lacity.org/eir/publication/pub_122701.htm#5539
17,2001-12-27,ENV-2001-5584,"1535 North Ivar Ave.; Hollywood, Los Angeles",CD13,ENV-2001-5584,,https//planning.lacity.org/eir/publication/pub_122701.htm#5584
18,2001-12-27,ENV-2001-5659,Jordan Ave.; Canoga Park-Winnetka-Woodland Hills-West Hills,CD3,ENV-2001-5659,,https//planning.lacity.org/eir/publication/pub_122701.htm#5659
19,2001-12-27,ENV-2001-5736,11273 Laurel Canyon Blvd.; Mission Hills-Panorama City-Sepulveda,CD2,ENV-2001-5736,,https//planning.lacity.org/eir/publication/pub_122701.htm#5736
20,2001-12-27,ENV-2001-5822,9666 Foothill Blvd.; Sunland-Tujunga-Lake View Terrace-Shadow Hills,CD2,ENV-2001-5822,,https//planning.lacity.org/eir/publication/pub_122701.htm#5822
21,2001-12-20,ENV-2000-1544,12409 -12413 Saticoy St.; North Hollywood,CD2,ENV-2000-1544,,https//planning.lacity.org/eir/publication/Pub_122001.htm#1544
22,2001-12-20,ENV-2001-2077,4070 West 7th St.; Wilshire,CD4,ENV-2001-2077,,https//planning.lacity.org/eir/publication/Pub_122001.htm#2077
23,2001-12-20,ENV-2001-3765,9000 South Airport Blvd.; West Chester-Playa del Rey,CD6,ENV-2001-3765,,https//planning.lacity.org/eir/publication/Pub_122001.htm#3765
24,2001-12-20,ENV-2001-3947,8120 Woodman Ave.; Mission Hills-Panorama City-Sepulveda-North Hills,CD2,ENV-2001-3947,,https//planning.lacity.org/eir/publication/Pub_122001.htm#3947
25,2001-12-20,ENV-2001-4041,19231 Tampa Ave.; Bel Air-Beverly Crest,CD3,ENV-2001-4041,,https//planning.lacity.org/eir/publication/Pub_122001.htm#4041
26,2001-12-20,ENV-2001-4212,6021 Hollywood Blvd.; Hollywood,CD13,ENV-2001-4212,,https//planning.lacity.org/eir/publication/Pub_122001.htm#4212
27,2001-12-20,ENV-2001-4562,1782 North Orange Dr.; Hollywood,CD13,ENV-2001-4562,,https//planning.lacity.org/eir/publication/Pub_122001.htm#4562
28,2001-12-20,ENV-2001-4787,13570 Eldridge Ave.; Sylmar,CD12,ENV-2001-4787,,https//planning.lacity.org/eir/publication/Pub_122001.htm#4787
29,2001-12-20,ENV-2001-4835,2201 Ocean Front Walk; Venice,CD6,ENV-2001-4835,,https//planning.lacity.org/eir/publication/Pub_122001.htm#4835
30,2001-12-20,ENV-2001-4838,2205 South Ocean Front Walk ; Venice,CD6,ENV-2001-4838,,https//planning.lacity.org/eir/publication/Pub_122001.htm#4838
31,2001-12-20,ENV-2001-5435,11770 Foothill Blvd.; Sunland-Tujunga-Lake View Terrace-Shadow Hills,CD7,ENV-2001-5435,,https//planning.lacity.org/eir/publication/Pub_122001.htm#5435
32,2001-12-20,ENV-2001-5782,City Wide,"CD's 1, 6, 7, 9, 10, 12, 14, 15",ENV-2001-5782,,https//planning.lacity.org/eir/publication/Pub_122001.htm#5782
33,2001-12-06,ENV-2001-4221,366 Welreno St.;North East Los Angeles,CD1,ENV-2001-4221,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
